metric,value
best_eval,167
best_eval_fraction,0.7136752136752137
eval_per_sec,0.14979246498368684
evaluation_count,234
improvement_percent,88.6468714164224
max_plateau_evals,67
median_plateau_evals,16.0
new_best_count,10
new_best_rate,0.042735042735042736
p90_plateau_evals,48.0
time_to_best_sec,1075.364230125997
time_to_first_improvement_sec,43.55877297600091
total_runtime_sec,1562.1697137470037
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
